Alexandros      |Plessias          |13/07/1992   |1234-123456-123 |1234-123456    |abc11068@abc.gr   |24/05/2013|23:44     |deposit        
Nikos           |Papas             |24/09/1994   |1234-123456-123 |1234-123456    |abc12063@abc.gr   |24/05/2013|23:44     |loan issue     
Stauros         |Papas             |30/12/1991   |1234-123456-123 |1234-123456    |abc100063@abc.gr  |24/05/2013|23:44     |deposit        
Basilis         |Marinos           |25/08/1992   |1234-123456-123 |1234-123456    |abc12063@abc.gr   |24/05/2013|23:44     |card issue     
Steve           |Bolhman           |06/01/1992   |1234-123456-123 |1234-123456    |abc11068@abc.gr   |24/05/2013|23:44     |deposit        
Adam            |Russel            |13/07/1994   |1234-123456-123 |1234-123456    |abc12063@abc.gr   |24/05/2013|23:44     |card issue     
Melisa          |Hackman           |13/08/1991   |1234-123456-123 |1234-123456    |abc100063@abc.gr  |24/05/2013|23:44     |deposit        
Rachel          |Marinos           |13/02/1992   |1234-123456-123 |1234-123456    |abc12063@abc.gr   |24/05/2013|23:44     |withdrawal     
Alexandros      |Plessias          |13/07/1992   |1234-123456-123 |1234-123456    |abc11068@abc.gr   |24/05/2013|23:44     |deposit        
Nikos           |Papas             |24/09/1994   |1234-123456-123 |1234-123456    |abc12063@abc.gr   |24/05/2013|23:44     |loan issue     
Steve           |Bolhman           |06/01/1992   |1234-123456-123 |1234-123456    |abc11068@abc.gr   |24/05/2013|23:44     |deposit        
